# idx, p10_mean, p50_mean, p90_mean, p10_dev, p50_dev, p90_dev
1a(N/m2),111709.5425,112375.7389,112880.9439,354.7457059,275.1280796,306.4205336
1b(N/m2),104734.0265,105222.6039,105793.7958,236.0989309,187.6438417,278.6977969
2(s),15984.17306,17092.6207,17897.94533,74.06407937,322.9962789,119.6955934
3a,0.000402328,0.000582971,0.000750302,1.83181E-05,3.84245E-05,6.03625E-05
3b,,,,,,
3c,0.003824739,0.00534237,0.005998148,,,
3d,0.000667221,0.000757962,0.000853543,,,
4a,3.15562E-17,3.39219E-17,3.8099E-17,4.97708E-19,7.6697E-19,2.13743E-18
4b,,,,,,
4c,1.86E-05,2.78E-05,0.001613047,,,
4d,2.58E-06,3.81E-06,2.34E-05,,,
5,12283.62313,13059.20026,14023.2197,,,
