t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
0,111162,105255,0,0,0,0,0,0,0,0,0,1.93E-05
600,111162,105255,0,0,5.12E-38,0,0,0,0,0,2.09E-24,0.000197
1200,111163,105255,4.61E-27,0,2.65E-29,6.70E-53,0,0,0,0,3.64E-18,0.000395
1800,111168,105255,2.20E-05,0,0.000114699,6.24E-05,0,0,8.59E-85,0,7.40E-16,0.000593
2400,111202,105255,4.93E-05,0,0.000253633,0.000146561,0,0,2.33E-74,3.08E-122,1.77E-14,0.00079
3000,111242,105255,9.71E-05,0,0.00037809,0.00018984,0,0,3.68E-70,1.42E-110,1.60E-13,0.000986
3600,111278,105255,0.000173981,0,0.000462502,0.000217346,0,0,4.75E-67,3.08E-105,9.14E-13,0.00117
4200,111347,105255,0.000269947,0,0.000551317,0.000230755,0,0,2.70E-64,3.07E-101,3.84E-12,0.00137
4800,111393,105255,0.000344438,0,0.000663464,0.0002485,0,0,5.54E-62,6.38E-98,1.27E-11,0.00158
5400,111484,105255,0.000501199,0,0.000681623,0.000251055,0,0,5.72E-60,6.06E-95,3.53E-11,0.00177
6000,111531,105255,0.000601153,0,0.0007568,0.000263213,0,0,3.39E-58,1.18E-91,8.80E-11,0.00196
6600,111577,105255,0.000715693,0,0.000828844,0.00026968,0,0,1.29E-56,1.58E-88,2.36E-10,0.00217
7200,111657,105255,0.000905103,0,0.000830928,0.000272894,0,0,3.57E-55,5.04E-86,5.90E-10,0.00239
7800,111724,105255,0.00105171,0,0.000854753,0.000276258,0,0,7.67E-54,1.24E-83,6.06E-09,0.00259
8400,111720,105255,0.00107935,0,0.000933922,0.000276453,0,0,1.24E-52,2.26E-79,6.80E-08,0.00315
9000,111718,105255,0.00107469,0,0.000945986,0.00027657,0,0,1.85E-51,5.75E-77,3.42E-07,0.00336
9600,111751,105255,0.00117822,0,0.000948303,0.000278575,0,0,2.18E-50,3.27E-75,1.03E-06,0.00364
10200,111805,105255,0.00135142,0,0.000975464,0.00028705,0,0,2.17E-49,1.08E-73,1.92E-06,0.00404
10800,111890,105255,0.00154293,0,0.000980833,0.000294184,0,0,1.58E-48,2.51E-72,4.72E-06,0.00444
11400,111926,105255,0.00166717,0,0.0011003,0.000301188,0,0,7.67E-48,4.25E-71,3.27E-05,0.00483
12000,111984,105255,0.00188823,0,0.00111441,0.000307094,0,0,7.15E-41,5.67E-70,9.04E-05,0.00521
12600,112105,105255,0.00215295,0,0.00101848,0.000309376,0,0,5.25E-40,1.77E-67,0.000777215,0.00563
13200,112090,105255,0.00210795,0,0.00110556,0.000309484,1.12E-05,0,0.00032859,2.46E-63,0.00347851,0.00628
13800,112074,105255,0.00207284,0,0.00114731,0.000309546,2.17E-05,0,0.00044358,5.72E-60,0.006298732,0.00654
